,For_0,For_1
0,4.064012,9.203592
1,3.0254707,6.410981
2,1.3494024,12.858715
3,8.065426,10.222679
4,4.7308455,13.706736
5,4.65196,15.126055
6,5.210725,9.929813
7,14.231863,4.408494
8,16.358395,3.7670202
9,10.811064,7.0601707
10,4.8237033,15.060196
11,5.020198,10.124195
12,3.4825168,13.744239
13,0.41492465,9.098444
14,8.161305,7.694218
15,1.3425529,14.060028
16,4.698865,8.035723
17,10.631348,3.6681972
18,15.422701,2.1870463
19,10.998118,6.1264505
20,13.604024,5.095167
21,1.2420672,13.052995
22,16.965296,1.0381987
23,7.124826,4.4617023
24,15.221979,2.9322994
25,12.713602,5.6730027
26,13.2276325,4.1267343
27,3.7145395,10.781465
28,10.374665,7.7901626
29,5.997938,10.8352585
30,3.1362104,12.74797
31,9.948664,10.928162
32,1.2161314,12.091539
33,5.237013,12.862457
34,9.5434,10.062218
35,14.26799,3.3834543
36,3.9951587,12.979591
37,12.188232,8.707987
38,10.040401,9.3327055
39,1.6094682,12.847562
40,3.3466783,14.073712
41,7.764803,11.567301
42,5.4239445,12.4767685
43,4.8305693,15.0852585
44,3.0271306,14.435257
45,8.84794,11.839139
46,2.0537775,14.498598
47,4.736223,8.299875
48,10.86175,7.5850153
49,4.194892,7.6881475
50,7.5435076,6.103564
51,15.880852,1.9310589
52,3.7631345,4.8566713
53,4.201501,15.112652
54,12.351135,4.2860107
55,2.8606784,12.787119
56,3.0745301,13.141222
57,2.9921703,7.404072
58,1.6858107,14.576041
59,10.006616,11.067611
60,14.486118,2.8474772
61,1.4656658,13.407888
62,4.0062675,13.275194
63,14.013166,6.4046087
64,4.348103,8.282152
65,12.436317,6.0620766
66,9.109946,10.283596
67,8.537012,9.499304
68,2.6660903,8.601763
69,11.181768,6.6756625
70,14.678482,3.8105474
71,5.4621396,8.104483
72,10.077796,8.422909
73,5.178181,14.127808
74,8.342765,8.61807
75,15.50249,4.9287806
76,10.692667,3.433527
77,12.43274,4.7513804
78,2.6946778,6.8254595
79,1.0724775,11.254427
80,2.0387993,8.721966
81,16.330948,1.8819857
82,9.128231,8.387535
83,12.399368,7.845731
84,1.4285889,13.907454
85,13.2722,4.98685
86,8.332074,11.908418
87,4.110454,8.608968
88,9.686867,7.802706
89,3.7146268,14.244602
90,3.9629297,8.5871525
91,1.2707697,12.507875
92,3.2237291,9.029588
93,1.7998905,13.646683
94,5.7440114,12.31275
95,9.246334,10.554509
96,9.158518,9.047972
97,2.3931615,14.019045
98,11.023595,3.8720992
99,2.7824373,14.460088
100,3.339108,13.321355
101,8.578504,8.751722
102,5.2959843,12.6462755
103,11.832629,7.0353518
104,8.26018,9.950956
105,15.840485,2.3404927
106,9.236348,9.387642
