,For_0,For_1
0,12.584214,3.8086894
1,9.084335,3.824905
2,16.660517,2.2716212
3,11.186794,5.779764
4,10.386869,7.3209753
5,15.656776,1.5083958
6,7.000476,15.080769
7,7.5380154,8.651512
8,3.0997007,7.059514
9,1.9949788,14.252724
10,12.343177,5.741835
11,9.832723,3.7079453
12,7.594987,9.271464
13,12.423791,6.181782
14,16.131351,2.6459494
15,16.907543,3.217669
16,14.897268,2.6516793
17,2.9781587,12.361147
18,16.059994,2.38893
19,3.6683264,5.2518425
20,1.8800192,11.928367
21,3.330915,4.85848
22,8.789536,12.771151
23,6.8122616,9.374577
24,4.2750726,13.464579
25,2.609249,5.4551067
26,5.993454,13.9799
27,14.649017,3.8898149
28,16.928345,1.2540722
29,4.7115755,9.131384
30,1.8989934,7.5160637
31,14.179407,2.5680466
32,14.383211,2.2049818
33,11.217525,3.2049441
34,4.023476,7.857467
35,10.630589,6.8335695
36,11.296682,6.179886
37,15.035982,2.9777465
38,5.6337595,10.153624
39,4.5131006,6.299995
40,3.7351706,12.858818
41,8.424331,8.696623
42,16.2715,1.8925859
43,11.644194,6.169044
44,3.5349948,6.570121
45,5.006398,10.271022
46,11.890739,7.479088
47,13.58653,6.805026
48,9.665749,9.259165
49,16.31276,4.681205
50,9.9136715,7.9321337
51,13.268781,5.0203686
52,8.024681,10.079531
53,15.305395,2.674954
54,9.79912,6.5053835
55,9.716736,8.976088
56,9.918062,7.2485447
57,3.7127848,5.6085916
58,3.5162435,6.3044033
59,4.2383523,3.779264
60,3.3790221,4.832016
61,15.128772,2.8735614
62,3.4528108,9.024255
63,4.184048,7.823044
64,11.629357,3.4730613
65,15.934852,1.8333871
66,14.591782,3.1462054
67,12.998622,4.725293
68,4.2601633,7.9728155
69,12.193258,7.8008065
70,15.492672,1.7353523
71,0.7135733,11.470285
72,15.322685,3.4115393
73,3.771232,7.083663
74,6.1408825,11.993488
75,13.8801,5.096533
76,11.197729,3.3687665
77,1.707533,12.0421295
78,9.032375,12.653864
79,10.537935,7.9147415
80,14.980803,2.3785777
81,3.8608532,10.218696
82,10.767153,6.8430443
83,9.358732,3.4191961
84,8.4009285,10.581921
85,14.036951,2.7062724
86,2.895691,8.475507
87,5.384512,11.734127
88,10.342241,8.492977
89,14.901487,3.0472803
90,14.348768,3.554959
91,5.6696405,11.780489
92,9.427305,7.596965
93,8.818956,9.533745
94,12.199118,3.5155554
95,2.756472,9.713465
96,12.633987,7.792504
97,10.298459,8.187103
98,4.553594,11.567949
99,9.121865,11.066786
100,2.533617,13.755824
101,4.365065,16.631779
102,14.493665,7.2616205
103,14.062201,2.9327908
104,3.8826566,12.130989
105,15.5709915,3.035064
106,5.379277,12.733539
107,13.495617,3.764514
108,15.321128,1.8882372
109,14.350824,2.664484
110,13.375744,4.7966614
111,4.0688367,9.334564
112,16.319324,2.5460987
113,9.347606,6.9452696
114,12.795582,5.966733
115,13.957619,2.4809525
116,15.360343,1.880382
117,7.653709,11.510283
118,3.2970464,9.113168
119,13.227476,6.205948
120,3.7567744,7.7755527
121,15.535284,1.9626107
122,4.081736,13.9347725
123,15.437014,1.7527643
124,4.045403,12.14962
125,11.050869,6.477666
126,1.8007722,11.017622
127,9.278115,9.154076
128,5.762518,14.50856
129,9.903268,8.782819
130,12.428496,6.440063
131,11.80039,5.8971252
132,14.784234,1.9283235
133,12.216265,6.1225004
134,13.80385,5.584478
135,14.695377,4.838761
136,13.953411,2.7843325
137,15.83448,0.8062515
138,15.074802,2.564681
139,3.1149087,6.5862565
140,4.225182,3.6837397
141,1.511481,14.086084
142,3.4417882,7.6797695
143,9.8008995,5.8805265
144,13.261469,6.4542646
145,4.1046934,13.687764
146,4.902483,11.22979
147,17.002398,1.5741467
148,14.90669,4.541926
149,3.0415158,8.118975
150,14.9420395,2.0808902
151,12.39093,5.0155187
152,2.2455435,8.467056
153,11.968073,3.0962067
154,5.617006,8.528637
155,3.7806535,7.3937283
156,3.2430549,11.10191
157,15.189207,3.3531723
158,3.3914757,3.724032
159,3.2190995,9.171613
160,12.129855,7.251748
161,11.931942,8.967307
162,13.704132,4.448286
163,12.575742,5.4559574
164,10.508516,7.0133657
165,10.0114975,7.9689794
166,12.261829,2.835952
167,15.213076,3.3086686
168,14.79883,4.653727
169,3.3123493,5.444825
170,3.3218925,3.9457111
171,11.769089,3.7878876
172,15.2586155,3.4652028
173,13.978874,3.1745946
174,7.963013,9.155614
175,3.835209,8.591034
176,10.61035,2.4444165
177,3.8197987,11.482168
178,5.9708805,12.373727
179,6.956108,13.41222
180,7.6859536,11.860395
181,10.745914,6.5087705
182,9.401356,10.148088
183,13.18831,3.279159
184,13.480651,4.5015974
185,3.7692308,7.94174
186,2.7021,7.1376247
187,4.0005026,5.8005
188,15.059542,2.269772
189,14.594563,2.3885252
190,2.8214965,9.201355
191,3.8513966,6.7878313
192,8.26863,9.756912
193,14.439356,4.3675785
194,16.928654,2.5411265
195,9.22109,7.589159
196,12.541906,5.878124
197,6.3916397,13.361652
198,6.352294,12.996397
199,16.207592,2.1939762
200,10.273821,11.583877
201,3.8066742,8.287624
202,4.107983,4.393033
203,17.33477,2.832821
204,13.014738,5.665532
205,14.571014,1.5222312
206,14.772442,5.272664
207,4.7447147,13.0356045
208,2.0681214,8.781082
209,3.059152,9.852411
210,10.561168,7.238372
211,1.8879366,9.295046
212,11.571066,1.5836004
213,14.770224,3.5759366
214,1.912542,12.85981
215,13.371677,4.041272
216,3.573149,9.58797
217,2.1999812,13.732021
218,10.676118,10.464398
219,3.667273,11.613327
220,13.758385,2.2969093
221,15.401425,2.958037
222,3.885252,7.37649
223,2.5290709,9.24048
224,9.658064,8.622402
225,2.6607182,14.800886
226,3.2654786,9.508802
227,3.3381224,9.064231
228,3.178171,7.320507
229,3.2254472,5.2735662
230,3.5977292,5.226075
231,3.3628755,6.402808
232,8.724152,7.4484587
233,13.52623,3.1090033
234,2.421708,8.590608
235,4.7485867,13.748203
236,4.7761526,12.256857
237,11.640522,2.25222
238,4.080905,7.0572643
239,16.414095,2.1582139
240,3.2801929,15.192014
241,11.657263,3.4224243
242,10.2422905,11.552565
243,14.470557,3.2929654
244,3.423193,4.952999
245,14.468356,2.581277
246,15.499699,1.8875178
247,15.819456,1.642677
248,2.918334,6.4582195
249,8.857662,13.716159
250,16.740807,2.11729
251,4.2538967,14.8835335
252,9.86009,9.314396
253,14.450705,4.5339503
254,2.792527,8.385699
255,15.97127,2.0861628
256,3.1707883,7.2416472
257,11.824463,6.938246
258,2.6163437,10.260919
259,6.873877,12.639897
260,14.793457,2.2958584
261,12.817059,5.9558725
262,3.6720839,2.9469461
263,10.126502,6.3404207
264,15.61553,2.5205238
265,12.437344,2.8962822
266,12.013758,6.4805574
267,11.7523985,4.19111
268,11.870071,2.626217
269,9.939849,10.413401
270,11.869423,6.6462283
271,15.951128,1.6488311
272,13.302929,2.8274784
273,3.1325414,8.562689
274,3.5315223,15.180792
275,14.513859,4.387584
276,14.803236,4.332041
277,7.5756636,11.614811
278,15.988041,1.8441132
279,7.3760223,10.871017
280,3.9560513,8.130928
281,12.732384,6.0020995
282,3.858977,7.071025
283,14.200794,5.8019733
284,3.2831898,6.4274225
285,13.585282,3.7837863
286,8.721202,10.918232
287,15.900146,1.7245549
288,1.3952278,9.994528
289,2.6703703,6.720033
290,2.6696968,7.0792704
291,16.718105,1.2254517
292,6.289609,13.426424
293,13.9438095,2.864665
294,3.8392937,6.536668
295,6.190456,12.9807625
296,3.5416403,7.4447956
297,12.500813,4.9269466
298,9.491827,11.085825
299,14.593715,3.0304112
300,9.530133,10.349327
301,16.89618,1.9708625
302,2.2155387,14.692858
303,10.180126,6.7267427
304,12.330004,4.575196
305,13.073047,7.5616226
306,14.964037,3.3618271
307,3.8463078,6.5788803
308,8.870359,10.896138
309,14.137472,3.1175287
310,10.035183,9.393476
311,2.3912702,11.545104
312,11.915215,11.053935
313,11.851927,2.3100166
314,3.7748957,6.1996894
315,3.6601648,5.211814
316,3.4817069,9.392307
317,12.516581,6.959914
318,2.4139462,6.438363
319,12.064823,6.3128834
320,9.582649,10.496719
321,4.1131425,12.075166
322,14.372236,2.6752949
323,14.745442,1.6308019
324,3.8098478,8.133314
325,11.577198,5.9624734
326,10.219297,7.6406584
327,5.8518524,13.318005
328,3.2512345,6.386528
329,4.1756763,9.805075
330,10.2965,7.60194
331,12.858306,4.311104
332,3.3429766,4.2590475
333,16.75255,1.4567208
334,2.5456576,10.496584
335,11.819614,5.487402
336,3.3192306,6.9027205
337,4.881405,12.62924
338,7.681799,11.495209
339,15.757402,2.3998082
340,4.6160326,9.574654
341,3.1822705,6.434091
342,2.643299,8.151154
343,12.573542,3.2338343
344,3.3947577,6.309007
345,2.7413044,9.787589
346,5.7983146,10.161646
347,7.305379,11.544007
348,8.70836,7.13519
349,14.499161,3.7295642
350,3.2905693,6.256898
351,2.755071,13.911799
352,10.835602,10.617927
353,4.155698,3.7040524
354,12.486027,3.0569725
355,2.6045804,13.282585
356,16.402859,1.6926905
357,5.1797485,14.11829
358,12.876222,5.323565
359,3.0696225,9.593382
360,7.633729,11.3650055
361,10.718061,9.631622
362,3.0457494,12.12858
363,14.967246,2.169537
364,8.803207,9.850864
365,3.7224116,8.309346
366,3.2850785,8.064718
367,2.0860958,6.2310224
368,9.540244,11.919474
369,3.254508,14.338609
370,16.483376,2.5114696
371,8.890916,12.024566
372,13.352684,4.3996253
373,11.106562,4.7317085
