,For_0,For_1
0,17.018047,1.2512277
1,3.775087,8.266394
2,1.7017627,14.178873
3,3.384359,15.582424
4,4.0667005,7.221724
5,13.060211,6.746209
6,10.651446,1.4395338
7,2.6621304,9.986786
8,3.3374953,9.459692
9,12.729525,3.9600234
10,3.5628364,7.356963
11,7.138877,9.881378
12,4.0570602,13.155643
13,4.2710605,7.264198
14,5.210243,7.9002724
15,3.0065844,10.902002
16,5.2276278,9.2785015
17,9.613335,6.226757
18,11.312431,6.181967
19,10.39727,7.501583
20,8.09239,11.843804
21,2.9062333,10.033859
22,13.385956,6.006521
23,7.894902,8.103771
24,11.251366,1.211614
25,3.5699086,7.477165
26,6.71014,10.643169
27,3.450501,12.655102
28,5.770932,3.5858164
29,10.487225,7.1588078
30,7.3536997,11.642138
31,6.0387015,9.447883
32,9.670891,9.715378
33,4.1487765,10.780874
34,12.977347,4.5850534
35,4.39075,8.993162
36,11.496681,1.6931573
37,6.1612735,8.414605
38,6.464266,12.183014
39,3.2675564,8.897989
40,5.517779,10.494444
41,8.394371,9.88893
42,13.73032,5.6298018
43,4.45551,9.987969
44,11.12978,3.1310291
45,5.070494,6.226815
46,2.3971097,13.059711
47,16.739029,1.9152895
48,3.4844103,8.392206
49,3.8845873,8.031298
50,11.602804,1.2873719
51,14.155134,4.7386713
52,2.7676826,9.09145
53,8.0123005,9.343794
54,14.7958,4.822052
55,5.5901,10.88427
56,12.5129795,7.1518555
57,12.092236,5.099723
58,14.349852,5.8500223
59,13.266754,3.805265
60,10.434778,7.1012106
61,16.165516,2.200443
62,3.4741347,6.597404
63,6.9832144,13.56369
64,8.344095,12.52388
65,4.2080827,13.455315
66,10.837487,6.0884013
67,7.3609753,6.2919073
68,4.1668024,11.482482
69,13.913604,3.201915
70,17.056826,1.4788038
71,5.251023,12.131544
72,17.212019,1.8174293
73,15.005825,4.225873
74,10.702982,4.961548
75,4.9153285,9.935547
76,6.9230614,9.2719555
77,13.84391,5.994258
78,3.2017624,12.063358
79,6.5108137,12.366782
80,4.006119,12.4381075
81,6.677418,12.033433
82,6.2193184,11.839014
83,6.823453,7.906971
84,14.767235,4.3690767
85,16.002459,2.6103766
86,4.964292,10.606858
87,2.0359306,13.420967
88,9.041098,7.1480618
89,3.4411337,9.42316
90,12.323105,8.991814
91,15.306658,2.1541066
92,2.7749217,12.927105
93,2.6279585,11.231493
94,8.650936,9.165836
95,6.2900305,8.701725
96,10.0846,7.155838
97,7.6015973,11.053273
98,3.0632272,13.006006
99,16.891018,1.599194
100,16.288647,4.281872
101,11.611258,5.921036
102,12.753563,3.417581
103,8.89905,9.756139
104,3.9723363,8.450354
105,6.2626133,9.969254
106,11.564185,6.504213
107,6.8454623,13.251165
108,10.036506,7.6044784
109,8.116331,8.83108
110,8.748998,13.075888
111,12.4755335,7.4699225
112,1.5811298,12.672408
113,6.840944,13.341759
114,14.566893,4.7750034
115,9.12671,6.9155254
116,11.705121,6.1776886
117,14.347479,2.7450392
118,16.053093,2.4641168
119,6.7407546,10.338432
120,2.0545993,13.584673
121,16.848915,3.1652367
122,3.3188894,7.010974
123,11.451674,4.8151903
124,13.585827,6.5149617
125,4.4472747,6.6241274
126,8.127898,11.185555
127,6.776116,7.230645
128,5.381522,11.798456
129,3.8016114,16.816101
130,3.4743607,9.938991
131,4.177802,10.481944
132,4.113032,14.569929
133,3.5527415,15.398546
134,4.605379,9.223778
135,4.2902093,5.4997363
136,2.4084773,8.466086
137,4.784908,17.012308
138,3.1546583,8.741988
139,4.102393,9.669214
140,13.192938,3.656227
141,3.374302,9.313458
142,2.86476,6.9732246
143,15.717461,3.9800878
144,2.5262635,14.045433
145,4.2188377,12.125008
146,3.1705663,10.094792
147,13.751133,4.525913
148,3.4544437,8.091826
149,3.6438968,8.477986
150,9.121775,10.067354
151,5.148129,9.748037
152,11.480361,6.9360056
153,4.243705,8.15658
154,3.761221,8.605307
155,1.664708,14.724558
156,6.916533,10.137865
157,3.3629518,8.90358
158,2.612288,14.47683
159,4.167165,8.54137
160,10.594338,6.6729264
161,7.5253525,12.639042
162,4.1799426,10.477472
163,7.196153,11.354705
164,3.2923975,4.2903514
165,3.0462377,9.638074
166,3.191898,8.662817
167,12.152987,6.984672
168,8.75778,7.6152706
169,13.313771,6.885536
170,2.0570853,8.888477
171,9.265451,9.031212
172,2.8339949,10.467676
173,12.046154,5.17857
174,5.654649,10.988117
175,4.049625,10.753116
176,12.653517,2.9534671
177,11.092072,8.132683
178,3.282595,8.535925
179,16.579967,1.7537583
180,4.886435,9.976856
181,15.223368,2.208117
182,15.122486,1.1682112
183,4.4533525,12.686169
184,3.1870089,9.071905
185,16.69909,2.637142
186,5.1196785,8.624123
187,12.718307,4.668063
188,4.4491496,6.41413
189,6.7619877,10.828308
190,10.969723,8.76222
191,12.395064,5.789917
192,8.002833,9.84646
193,4.4330177,6.651701
194,6.4086113,10.729569
195,13.610197,4.603443
196,13.398949,6.7295456
197,4.440601,9.24123
198,15.948532,4.173167
199,14.4160595,3.193657
200,16.385176,2.331071
201,3.9793468,9.520973
202,14.832615,5.3448954
203,3.7372656,7.958585
204,4.5959864,9.180447
205,16.799612,1.5097445
206,4.644489,6.0231752
207,3.5549517,10.565023
208,8.048802,8.035488
209,6.9798207,7.9852915
210,5.2083087,9.564987
211,15.582884,3.7820237
212,3.0893078,8.774749
213,15.847171,1.5216346
214,2.60688,11.60326
215,2.5201895,12.368034
216,8.98959,10.948992
217,12.390518,3.2673202
218,2.6451616,10.334997
219,4.4767694,9.771732
220,16.050459,2.7651825
221,4.338669,8.612417
222,4.098113,6.775996
223,14.687357,2.4674373
224,5.3224072,9.576725
225,2.2444355,11.502948
226,1.6455956,13.066093
227,14.917225,1.6305139
228,12.510435,6.1122475
229,16.666706,1.9891801
230,3.3024287,6.4883275
231,3.4286535,6.2565355
232,3.3170376,9.167661
233,12.043027,8.555324
234,15.484362,2.656665
235,4.284068,10.346317
236,3.3594294,7.1841717
237,2.8635757,9.552061
238,2.7723086,13.611601
239,2.1280012,15.660257
240,13.591131,2.8902578
241,15.832946,2.3669186
242,0.9267585,12.883173
243,4.302181,10.634588
244,10.749546,8.536297
245,5.046334,10.422331
246,11.289823,6.221632
247,10.717537,9.234075
248,16.721127,2.0562668
249,2.748287,12.310917
250,8.217337,5.509898
251,10.033695,3.0113602
252,16.839619,2.3255246
253,16.585789,2.4413545
254,2.6869206,7.543193
255,3.989374,10.04583
256,6.062978,14.217226
257,3.2097578,6.3462086
258,4.2644634,10.217798
259,7.2631197,13.365334
260,5.39215,9.573973
261,14.977337,4.896575
262,2.3404646,10.291827
263,16.515656,2.0020792
264,10.185768,1.1424556
265,4.217533,13.1021595
266,12.106256,6.5540066
267,6.9562206,13.619848
268,3.778778,8.203345
269,3.3966885,8.8048
270,3.1238153,10.650385
271,10.838465,7.3264017
272,4.3782325,4.986163
273,12.138871,5.83639
274,8.185756,7.599736
275,9.245887,5.4563975
276,11.215818,5.9607625
277,13.904968,5.124118
278,4.429967,9.716618
279,5.0562735,10.031319
280,4.536279,14.156378
281,10.721275,5.6106243
282,10.253155,6.4315248
283,6.0688114,13.144398
284,12.688765,6.7350836
285,3.2758613,13.733133
286,8.474297,9.225674
287,14.908303,3.1009285
288,12.018469,4.3206496
289,8.667088,8.908569
290,1.1782649,15.377258
291,16.910057,1.9313513
292,2.3087463,10.699888
293,12.449039,4.4864883
294,7.507949,12.557087
295,4.9688106,11.616065
296,16.975483,2.0013387
297,8.491446,9.876105
298,4.737052,8.437578
299,3.2820723,12.877188
300,7.9386587,13.631079
301,14.252791,4.942865
302,3.3108745,10.216336
303,3.5562148,5.722684
304,4.8486156,10.815622
305,2.915842,9.792896
306,5.9431605,6.042973
307,3.6492357,6.379685
308,2.4768932,7.809618
309,4.543782,14.469875
310,12.56061,5.2114086
311,9.273479,7.811436
312,3.3821669,8.779374
313,12.6787615,5.964287
314,15.225174,2.3353317
315,3.4863443,7.223473
316,4.1641893,8.994919
317,3.846558,14.187952
318,6.253713,16.354246
319,2.8740413,8.289614
320,11.483344,9.754808
321,5.4759235,14.76007
322,6.5371256,14.39307
323,3.6329627,9.5972185
324,6.4512167,11.864256
325,13.9702,5.53462
326,9.223278,10.919972
327,6.603052,10.512858
328,2.557623,10.2037525
329,3.9435194,10.153461
330,3.8488617,10.142719
331,14.810574,7.276519
332,12.772647,6.1907067
333,10.963403,1.9813309
334,4.692377,10.387856
335,6.650217,12.046845
336,13.911024,5.5218983
337,3.7437282,13.456688
338,4.8435817,6.7209654
339,8.913044,6.850048
340,14.384757,4.8295236
341,3.0847433,13.944323
342,5.6048183,14.290453
343,12.130064,2.256678
344,3.2717056,8.494153
345,14.153361,2.5171297
346,3.376145,10.434544
347,2.76066,9.250535
348,15.558189,2.84817
349,4.0664425,6.558923
350,9.819433,8.854748
351,7.12325,10.545288
352,16.996735,1.6079894
353,3.133965,8.599724
354,14.759905,3.757769
355,4.302085,14.449625
356,17.21787,1.6132699
357,7.321663,10.462305
358,3.825303,8.490118
359,1.2241518,10.287279
360,16.773968,1.6545831
361,10.972418,9.76697
362,17.033943,2.3044496
363,5.0632205,8.957858
364,3.9763725,11.042654
365,4.6073103,7.0821934
366,11.75046,6.4087753
367,14.042274,4.890051
368,3.799171,5.9569235
369,9.795278,2.8214254
370,3.6329355,14.543533
371,3.9311485,9.07428
372,13.202475,6.2581043
373,10.763773,8.559614
374,4.101951,8.882641
375,7.6468005,9.915843
376,1.1536922,10.232569
377,3.9831035,14.777153
378,5.3377976,8.551456
379,2.4251344,12.646776
380,9.651539,2.8924613
381,3.1909316,6.1120777
382,6.806779,11.979477
383,4.6459427,11.394192
384,3.7263618,4.925716
385,4.058949,7.8854656
