,For_0,For_1
0,9.49845,9.9504175
1,10.848408,4.4789124
2,5.814211,11.734699
3,15.827769,4.5862236
4,15.928625,3.0220563
5,15.588628,2.6574676
6,6.874708,9.594251
7,15.471056,3.7551484
8,16.723137,2.9654028
9,10.554272,7.5550365
10,4.577448,12.530322
11,10.778671,10.17111
12,9.44336,10.089636
13,13.45326,6.4134436
14,13.080206,2.3649619
15,3.4150207,7.4515038
16,17.075024,2.4855819
17,9.199095,6.5649505
18,8.232001,11.922421
19,15.535577,2.7625494
20,16.546663,4.2689834
21,10.873928,10.81657
22,4.0385985,7.18672
23,9.653774,8.953626
24,12.262405,0.92161244
25,10.742127,6.6463356
26,2.2385173,8.096611
27,0.010490323,11.55942
28,7.862588,10.636625
29,15.556053,2.8938193
30,8.803496,8.735042
31,14.750494,5.7216215
32,10.961389,10.208735
33,6.946167,12.376663
34,15.724176,1.8005717
35,3.4657984,3.2707257
36,7.2384315,11.330561
37,5.6461735,13.320545
38,4.799382,8.830749
39,3.2810106,6.760679
40,6.2868686,12.922747
41,12.419386,4.155021
42,12.630459,6.1814337
43,4.892892,15.315186
44,10.766779,5.792328
45,9.212002,4.239802
46,4.91344,15.213125
47,3.6020403,13.14806
48,11.40419,3.5906081
49,9.028464,7.6988025
50,16.162504,3.9866524
51,11.384865,5.142626
52,11.929381,5.3008857
53,4.7479987,15.3707905
54,13.347652,3.8376682
55,4.372637,5.5395355
56,2.0275903,12.06444
57,16.299545,2.3440337
58,3.9940271,8.023148
59,10.241729,11.216076
60,13.23752,7.538995
61,3.0977106,10.986586
62,10.223419,2.8001857
63,15.608057,5.5065975
64,10.537039,8.370526
65,10.561308,11.833906
66,12.425315,5.3754106
67,4.3483624,5.2797346
68,11.765705,9.170793
69,7.9036293,8.791996
70,3.6959367,3.0866585
71,3.4984827,4.5217266
72,5.5985384,15.142395
73,10.415283,1.735611
74,8.705599,9.181162
75,10.325898,3.7861733
76,7.0930505,13.522924
77,3.6988356,5.126542
78,3.8646915,13.4731245
79,9.830296,11.229391
80,6.5112085,9.181446
81,0.8079429,12.262927
82,0.7377146,8.400005
83,8.071673,12.36845
84,16.19035,1.8895772
85,3.6731734,7.9392977
86,8.857864,8.051887
87,10.036867,9.178284
88,14.502322,5.1247706
89,9.660297,7.4389057
90,15.956997,2.0446293
91,2.4299457,12.663738
92,16.195744,1.694021
93,12.775373,6.787275
94,16.357548,1.8843997
95,17.303158,3.4777358
96,2.431461,12.613235
97,14.896758,4.860619
98,13.785217,5.873973
99,3.6852944,8.12088
100,14.781473,5.466996
101,4.786392,15.105187
102,11.004414,2.9688396
103,16.299494,2.1238194
104,12.03075,4.818764
105,12.94552,6.030595
106,10.818247,6.632303
107,5.991785,14.863378
108,7.3396306,12.030762
109,11.339169,6.44022
110,2.7207952,13.177044
111,7.782677,9.20919
112,2.8438406,11.583537
113,3.166068,5.860896
114,9.843049,2.2528453
115,12.596893,5.588285
116,9.513041,10.354301
117,9.855589,8.58629
118,5.295813,10.897516
119,9.530577,10.732548
120,9.20698,7.3289013
121,9.388689,8.349819
122,8.6903305,10.836563
123,13.4392185,3.514746
124,3.3119426,9.8085165
125,9.966364,1.3724971
126,16.098946,2.7127643
127,15.526414,2.90184
128,9.809459,9.844469
129,16.083416,3.922526
130,9.831631,8.297546
131,9.384893,7.585854
132,0.058036007,13.833287
133,16.737963,1.78743
134,3.5513315,6.8491917
135,7.5888176,12.423099
136,10.391323,5.24393
137,15.971821,1.3952478
138,10.828337,2.6712656
139,2.9540162,13.966902
140,16.230465,3.2343726
141,15.289408,3.4601285
142,15.570194,3.2210479
143,11.083785,9.327129
144,15.073097,3.026533
145,4.740693,13.737144
146,3.9194026,7.58292
147,13.193813,6.44709
148,4.3308606,7.3929443
149,12.385237,2.5678916
150,2.0010135,13.450502
151,3.4762514,15.032412
152,10.4649935,6.20887
153,13.025124,4.872665
154,13.484451,7.020764
155,10.969275,6.650964
156,17.898468,3.665627
157,4.385504,7.8082466
158,9.779509,4.2212687
159,2.414251,15.053425
160,7.6664486,12.146517
161,7.979536,10.176547
162,5.461455,13.403002
