,For_0,For_1
0,7.610163,9.083751
1,2.025967,10.246326
2,8.258559,11.630503
3,3.7111788,8.883337
4,12.860811,6.8636565
5,5.725294,10.667443
6,12.687538,6.786934
7,2.7472405,8.733921
8,3.0039043,7.9352903
9,5.1790237,14.846872
10,3.4635715,7.190777
11,11.296494,3.9247231
12,12.639256,4.948199
13,9.508039,7.3923116
14,8.3442335,9.408484
15,0.3569506,10.182812
16,8.303319,8.613634
17,2.4007063,14.935115
18,13.130297,6.0148244
19,8.362316,2.9254308
20,2.8120112,8.681198
21,13.03184,6.164688
22,5.303549,9.8104315
23,9.517727,8.096266
24,5.618025,15.0041895
25,3.5106122,7.1507583
26,1.8615645,11.061591
27,3.437883,7.0168047
28,8.500721,9.064881
29,2.8979158,6.379405
30,11.905867,5.892886
31,9.580303,5.487978
32,11.93726,5.985552
33,9.713918,9.670787
34,2.9823136,12.102406
35,9.346622,11.131007
36,9.755035,9.262505
37,4.5937786,14.568813
38,11.669361,5.1404333
39,14.994662,3.3964877
40,4.5525155,11.230064
41,4.8969026,9.252306
42,13.713831,6.130034
43,10.897657,1.5332371
44,11.3384285,6.5755825
45,0.8233638,11.314243
46,4.8155994,14.431306
47,9.076344,7.446192
48,17.035568,2.3321228
49,2.8982456,10.589562
50,4.8725457,11.034559
51,4.4782624,3.083735
52,9.601074,7.139469
53,9.75684,2.058666
54,12.42701,3.8914027
55,3.2499352,6.317725
56,14.267565,5.971896
57,5.720876,9.702096
58,3.3295493,7.586026
59,8.389193,7.2759247
60,2.653803,9.418863
61,4.281428,14.783465
62,4.7625613,11.596567
63,3.6596327,6.0820403
64,17.188726,1.787545
65,15.881519,2.8942525
66,16.81091,3.1672244
67,9.73005,3.5383878
68,10.718258,6.9835877
69,0.8114254,11.607694
70,2.0155158,14.737542
71,2.5153618,7.859565
72,5.181677,12.504589
73,4.822551,7.666441
74,3.543499,8.240068
75,10.324154,6.1568384
76,15.6747265,1.7808179
77,13.578695,4.480243
78,3.085731,7.0715413
79,16.234793,3.937632
80,11.290258,6.886221
81,11.222932,8.3788395
82,4.3322906,6.155424
83,8.1506195,10.265939
84,9.409117,6.0287104
85,14.638607,3.2033525
86,5.116136,7.4564056
87,12.747144,2.995591
88,11.967598,5.970694
89,15.467798,3.265805
90,14.383744,3.4704325
91,4.5423226,9.124457
92,3.7745342,7.206849
93,12.867371,5.770009
94,2.0093143,15.056921
95,3.117946,12.158615
96,4.942733,13.496607
97,3.4995348,7.499218
98,12.27578,6.840081
99,13.663551,3.0203407
100,3.3690917,8.114465
101,4.3698854,13.404032
102,4.8479633,12.922617
103,14.736836,3.011321
104,3.9354665,8.338858
105,3.2203734,7.0824866
106,13.351706,7.023286
107,5.497863,12.001831
108,11.860399,3.2056172
109,3.4689486,8.569471
110,12.781505,2.4694467
111,3.4232984,9.201128
112,11.238312,5.8802443
113,0.6577867,11.924917
114,3.4110084,4.527755
115,3.6893835,6.9055758
116,2.4411998,9.292335
117,7.8102336,11.82463
